nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Wimy,468,500,32
Chamouille,260,300,40
Noroy-sur-Ourcq,158,200,42
Danizy,569,600,31
Gauchy,5443,5600,157
Bourguignon-sous-Coucy,91,100,9
Coucy-lès-Eppes,576,600,24
Juvincourt-et-Damary,493,500,7
Trefcon,83,100,17
Voyenne,288,300,12
Pierremande,276,300,24
Œuilly,277,300,23
Saint-Paul-aux-Bois,395,400,5
Lucy-le-Bocage,175,200,25
Coupru,186,200,14
Augy,90,100,10
Venizel,1356,1400,44
Neure,171,200,29
Andelaroche,277,300,23
Limoise,179,200,21
Louchy-Montfand,442,500,58
Désertines,4348,4400,52
Arronnes,361,400,39
Chezelle,161,200,39
Saint-Palais,190,200,10
Fleuriel,348,400,52
Bayet,677,700,23
Servilly,275,300,25
Villebret,1276,1300,24
Isle-et-Bardais,272,300,28
Domérat,8990,9000,10
Saligny-sur-Roudon,777,800,23
Montord,233,300,67
Louroux-Hodement,346,400,54
Buxières-les-Mines,1076,1100,24
Valignat,75,100,25
Vallon-en-Sully,1674,1700,26
Meaulne,763,800,37
Bourbon-l'Archambault,2571,2600,29
Néris-les-Bains,2667,2700,33
Lavoine,153,200,47
Liernolles,246,300,54
Meillers,151,200,49
Arfeuilles,677,700,23
Boucé,560,600,40
Gannat,5806,5900,94
Loddes,146,200,54
La Ferté-Hauterive,298,300,2
Neuvy,1510,1600,90
Chappes,193,200,7
Theneuille,388,400,12
Saint-Ennemond,654,700,46
Montluçon,38402,39500,1098
Cressanges,670,700,30
Viplaix,291,300,9
Saint-Léger-sur-Vouzance,281,300,19
Besson,792,800,8
Ferrières-sur-Sichon,560,600,40
Treteau,558,600,42
Saint-Bonnet-Tronçais,742,800,58
Ainay-le-Château,1050,1100,50
Braize,288,300,12
Valigny,388,400,12
Saint-Bonnet-de-Four,199,200,1
Chamblet,1073,1100,27
Beaune-d'Allier,285,300,15
Saint-Loup,570,600,30
Saint-Christophe,494,500,6
Mercy,262,300,38
Le Mayet-d'École,272,300,28
Bellerive-sur-Allier,8546,8600,54
Saint-Prix,797,800,3
Luneau,287,300,13
Ussel-d'Allier,145,200,55
Saint-Pierre-Laval,369,400,31
Saint-Didier-la-Forêt,380,400,20
Mazerier,287,300,13
Durdat-Larequille,1286,1300,14
Saint-Pourçain-sur-Sioule,4987,5100,113
Sazeret,160,200,40
Vichy,24774,25200,426
Vernusse,171,200,29
Hérisson,648,700,52
Deneuille-lès-Chantelle,91,100,9
Avrilly,153,200,47
Varennes-sur-Tèche,254,300,46
Nassigny,195,200,5
Urçay,295,300,5
Treignat,447,500,53
Noyant-d'Allier,687,700,13
Saint-Voir,197,200,3
Le Donjon,1080,1100,20
Louroux-de-Beaune,182,200,18
Sanssat,253,300,47
Commentry,6651,6800,149
Seuillet,494,500,6
La Chapelle,382,400,18
Saint-Désiré,470,500,30
Montcombroux-les-Mines,371,400,29
Vieure,267,300,33
Saint-Aubin-le-Monial,284,300,16
Monétay-sur-Loire,285,300,15
Bert,267,300,33
Treban,394,400,6
Laféline,191,200,9
Ygrande,773,800,27
Rongères,582,600,18
Montmarault,1530,1600,70
Laprugne,362,400,38
Villeneuve-sur-Allier,985,1000,15
Saint-Éloy-d'Allier,55,100,45
Audes,452,500,48
Molinet,1160,1200,40
Saint-Didier-en-Donjon,268,300,32
Chavroches,277,300,23
Murat,291,300,9
Château-sur-Allier,175,200,25
Bézenet,987,1000,13
Ronnet,185,200,15
Target,267,300,33
Mazirat,287,300,13
Saint-Léopardin-d'Augy,365,400,35
Maillet,368,400,32
La Petite-Marche,185,200,15
Agonges,342,400,58
Bost,192,200,8
Saint-Clément,363,400,37
Reugny,264,300,36
Lapalisse,3150,3200,50
Billezois,392,400,8
Voussac,464,500,36
Broût-Vernet,1182,1200,18
La Chapelaude,981,1000,19
Saint-Germain-des-Fossés,3658,3700,42
Charroux,386,400,14
Sussat,98,100,2
Lalizolle,376,400,24
Saulcet,644,700,56
Bizeneuille,283,300,17
Aurouër,370,400,30
Couzon,298,300,2
Monestier,266,300,34
Saint-Gérand-le-Puy,996,1000,4
Le Vilhain,265,300,35
Créchy,487,500,13
Marigny,189,200,11
Trézelles,387,400,13
Saint-Pont,578,600,22
Couleuvre,581,600,19
Moulins,19590,19800,210
Ébreuil,1277,1300,23
Le Pin,393,400,7
La Chabanne,189,200,11
Saint-Nicolas-des-Biefs,181,200,19
Chantelle,1072,1100,28
Bessay-sur-Allier,1388,1400,12
Mariol,762,800,38
Rocles,377,400,23
Bresnay,395,400,5
La Guillermie,143,200,57
Sauvagny,94,100,6
